show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2203,Movie,Banana Split,Ben Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts, Jessica Hecht, Addison Riecke, Meagan Kimberly Smith, Haley Ramm",United States,"July 26, 2020",2020,TV-MA,84 min,"Comedies, Dramas, Independent Movies","Despite leaving for college, a heartsick teen tries to build a new friendship with a kindred spirit even though she's dating her ex-boyfriend."
s2204,TV Show,Shameless (U.S.),,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack",United States,"July 26, 2020",2019,TV-MA,10 Seasons,"TV Comedies, TV Dramas",This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.
s2205,Movie,Door Ke Darshan,Gagan Puri,"Dolly Ahluwalia, Manu Rishi Chadha, Mahie Gill, Shardul Rana, Archita Sharma, Rajesh Sharma, Supriya Shukla, Mehak Manwani",India,"July 25, 2020",2020,TV-14,114 min,"Comedies, International Movies","When a matriarch wakes from a 30-year coma, her wacky family frantically recreates a bygone era to keep her from noticing how much time has passed."
s2206,Movie,Double World,Teddy Chan,"Henry Lau, Peter Ho, Lin Chenhan, Jiang Luxia, Ming Hu, Him Law, Shi Shi, Mark Cheng, Wang Ziyi, Xu Minghu",China,"July 25, 2020",2020,TV-14,110 min,"Action & Adventure, International Movies","Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle."
s2207,Movie,Project Marathwada,Bhavin Wadia,"Om Puri, Seema Biswas, Kunal Sheth, Rahul Patel, Katarina Kajkus, Farrah Kader, Govind Namdeo, Dalip Tahil",India,"July 25, 2020",2016,TV-MA,103 min,"Dramas, Independent Movies, International Movies","After his son’s suicide, a debt-ridden farmer seeks justice from the government. But as his pleas are mocked and rebuffed, his own will to live erodes."
s2208,Movie,Animal Crackers,"Tony Bancroft, Scott Christian Sava","Emily Blunt, John Krasinski, Ian McKellen, Danny DeVito, Raven-Symoné, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor","China, Spain, South Korea, United States","July 24, 2020",2020,TV-Y7,106 min,"Children & Family Movies, Comedies","Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands."
s2209,Movie,Dragons: Rescue Riders: Secrets of the Songwing,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Renée Elise Goldsberry",United States,"July 24, 2020",2020,TV-Y,46 min,"Children & Family Movies, Comedies","When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell."
s2210,Movie,Nimbe,Tope Alake,"Odunlade Adekola, Chimezie Imo, Sani Danja, Rachael Okonkwo, Broda Shaggi, Toyin Abraham, Kelechi Udegbe, Doyin Abiola, Molawa Davis",Nigeria,"July 24, 2020",2019,TV-MA,115 min,"Dramas, International Movies",A bullied teenager gravitates toward the acceptance he finds in a street gang but soon ends up involved in a world of drug abuse and organized crime.
s2211,Movie,Offering to the Storm,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Carlos Librado ""Nene"", Francesc Orella, Imanol Arias, Álvaro Cervantes, Itziar Aizpuru, Benn Northover, Marta Larralde, Alicia Sánchez, Eduardo Rosa, Angel Alkain, Ana Wagener, Paco Tous, Patricia López Arnaiz, Pedro Casablanc","Spain, Germany","July 24, 2020",2020,TV-MA,140 min,"International Movies, Thrillers","Amaia investigates several suspicious infant deaths and horrific rituals. Meanwhile, people around her risk grave danger. Part 3 in the Baztan Trilogy."
s2212,Movie,Romance Doll,Yuki Tanada,"Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro",Japan,"July 24, 2020",2020,TV-MA,124 min,"Dramas, International Movies, Romantic Movies","Love came naturally for married couple Sonoko and Tetsuo. But his secret profession as a love doll designer clashes with her deeper, darker secret."
